"part","per","TL","BL","TR","BR","right","self_adv","other_adv","self_dis","other_dis","selfish"
1,132,28,32,50,10,1,50,10,28,32,1
1,133,57,3,21,39,0,57,3,21,39,1
1,134,33,27,40,20,1,40,20,33,27,1
1,135,45,15,33,27,0,45,15,33,27,1
1,136,34,26,45,15,1,45,15,34,26,1
1,137,26,34,45,15,1,45,15,26,34,1
1,138,15,45,57,3,1,57,3,15,45,1
1,139,23,37,57,3,1,57,3,23,37,1
1,140,23,37,50,10,1,50,10,23,37,1
1,141,60,0,28,32,0,60,0,28,32,1
1,142,40,20,30,30,0,40,20,30,30,1
1,143,40,20,45,15,1,45,15,40,20,1
1,144,37,23,30,30,0,37,23,30,30,1
1,145,34,26,55,5,1,55,5,34,26,1
1,146,57,3,20,40,0,57,3,20,40,1
1,147,37,23,40,20,1,40,20,37,23,1
1,148,32,28,50,10,1,50,10,32,28,1
1,149,29,31,57,3,1,57,3,29,31,1
1,150,57,3,45,15,0,57,3,45,15,1
1,151,30,30,39,21,1,39,21,30,30,1
1,152,39,21,37,23,0,39,21,37,23,1
1,153,3,57,60,0,1,60,0,3,57,1
1,154,25,35,37,23,1,37,23,25,35,1
1,155,45,15,23,37,0,45,15,23,37,1
1,156,60,0,15,45,0,60,0,15,45,1
1,157,55,5,28,32,0,55,5,28,32,1
1,158,40,20,20,40,0,40,20,20,40,1
1,159,35,25,55,5,1,55,5,35,25,1
1,160,39,21,25,35,0,39,21,25,35,1
1,161,60,0,39,21,1,60,0,39,21,0
1,162,27,33,60,0,1,60,0,27,33,1
1,163,55,5,57,3,1,57,3,55,5,1
1,164,10,50,57,3,1,57,3,10,50,1
1,165,30,30,45,15,1,45,15,30,30,1
1,166,57,3,26,34,0,57,3,26,34,1
1,167,34,26,39,21,1,39,21,34,26,1
1,168,28,32,40,20,1,40,20,28,32,1
1,169,50,10,30,30,0,50,10,30,30,1
1,170,37,23,35,25,0,37,23,35,25,1
1,171,29,31,37,23,1,37,23,29,31,1
1,172,40,20,55,5,1,55,5,40,20,1
1,173,20,40,45,15,1,45,15,20,40,1
1,174,40,20,60,0,0,60,0,40,20,0
1,175,39,21,57,3,1,57,3,39,21,1
1,176,33,27,28,32,0,33,27,28,32,1
1,177,45,15,37,23,0,45,15,37,23,1
1,178,60,0,37,23,0,60,0,37,23,1
1,179,37,23,27,33,0,37,23,27,33,1
1,180,32,28,30,30,0,32,28,30,30,1
1,181,25,35,50,10,1,50,10,25,35,1
1,182,33,27,37,23,1,37,23,33,27,1
2,1,34,26,27,33,0,34,26,27,33,1
2,2,50,10,21,39,0,50,10,21,39,1
2,3,5,55,60,0,1,60,0,5,55,1
2,4,57,3,45,15,0,57,3,45,15,1
2,5,23,37,40,20,1,40,20,23,37,1
2,6,57,3,31,29,0,57,3,31,29,1
2,7,60,0,55,5,0,60,0,55,5,1
2,8,39,21,40,20,1,40,20,39,21,1
2,9,26,34,35,25,1,35,25,26,34,1
2,10,37,23,30,30,0,37,23,30,30,1
2,11,34,26,55,5,1,55,5,34,26,1
2,12,32,28,50,10,1,50,10,32,28,1
2,13,40,20,34,26,0,40,20,34,26,1
2,14,60,0,10,50,0,60,0,10,50,1
2,15,35,25,39,21,1,39,21,35,25,1
2,16,35,25,28,32,0,35,25,28,32,1
2,17,26,34,60,0,1,60,0,26,34,1
2,18,50,10,30,30,0,50,10,30,30,1
2,19,40,20,31,29,0,40,20,31,29,1
2,20,55,5,29,31,0,55,5,29,31,1
2,21,23,37,37,23,1,37,23,23,37,1
2,22,31,29,60,0,1,60,0,31,29,1
2,23,50,10,31,29,0,50,10,31,29,1
2,24,39,21,32,28,0,39,21,32,28,1
2,25,55,5,28,32,0,55,5,28,32,1
2,26,57,3,5,55,0,57,3,5,55,1
